Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB,Tm,BA,OBP,SLG,OPS,BAbip,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,WPA,cWPA,RE24,Tm,RA/G,PAu,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,BA,OBP,SLG,OPS,BAbip,TB,GDP,HBP,SH,SF,IBB,ROE,Tm,RA/G,Ptn%,HR%,SO%,BB%,SO-BB%,XBH%,X/H%,GB/FB,GO/AO,IP%,LD%,HR/FB,IF/FB,Opp,DP,%,PAu,year
Detroit Tigers,29,28.3,5.52,64,98,.395,5.36,162,162,160,2,4,1,32,1420.1,1587,894,846,218,538,42,1202,61,4,53,6298,84,4.73,1.496,10.1,1.4,3.4,7.6,2.23,1143,Detroit Tigers,.282,.348,.463,.811,.321,3.5%,19.1%,8.5%,88.2,38.3%,26.8%,39.6%,24.2%,0.67,-10.6,-2.8%,-139.6,Detroit Tigers,5.52,,162,6298,5621,894,1587,290,35,218,85,37,538,1202,.282,.348,.463,.811,.321,2601,129,61,15,62,42,44,Detroit Tigers,5.52,45%,3.5%,19.1%,8.5%,10.5%,8.6%,34%,0.67,0.85,68%,27%,9.4%,13%,1299,129,10%,0,2017
Houston Astros,27,28.5,4.32,101,61,.623,4.12,162,162,161,1,9,0,45,1446.0,1314,700,662,192,522,17,1593,70,4,86,6111,99,3.91,1.270,8.2,1.2,3.2,9.9,3.05,1073,Houston Astros,.240,.313,.407,.720,.302,3.1%,26.1%,8.5%,87.0,37.5%,24.6%,46.8%,20.8%,0.90,6.4,4.3%,36.6,Houston Astros,4.32,,162,6111,5476,700,1314,293,23,192,102,14,522,1593,.240,.313,.407,.720,.302,2229,133,70,17,20,17,52,Houston Astros,4.32,51%,3.1%,26.1%,8.5%,17.5%,8.3%,39%,0.90,1.27,61%,25%,10.6%,11%,1075,133,12%,0,2017
Kansas City Royals,29,30.3,4.88,80,82,.494,4.61,162,162,161,1,6,1,39,1437.2,1480,791,737,196,519,24,1216,52,6,48,6218,97,4.43,1.390,9.3,1.2,3.2,7.6,2.34,1114,Kansas City Royals,.265,.331,.434,.765,.305,3.2%,19.6%,8.4%,87.8,37.7%,24.0%,43.6%,23.9%,0.79,1.5,-1.7%,-34.4,Kansas City Royals,4.88,,162,6218,5580,791,1480,274,40,196,87,30,519,1216,.265,.331,.434,.765,.305,2422,127,52,21,46,24,49,Kansas City Royals,4.88,41%,3.2%,19.6%,8.4%,11.2%,8.2%,35%,0.79,1.01,68%,24%,9.0%,12%,1192,127,11%,0,2017
Los Angeles Angels,31,29.1,4.38,80,82,.494,4.20,162,162,161,1,10,1,43,1440.2,1373,709,672,224,470,25,1312,44,6,57,6030,102,4.43,1.279,8.6,1.4,2.9,8.2,2.79,999,Los Angeles Angels,.251,.314,.429,.744,.291,3.7%,21.8%,7.8%,88.6,40.1%,25.4%,41.5%,24.7%,0.72,0.1,-0.8%,34.1,Los Angeles Angels,4.38,,162,6030,5460,709,1373,265,17,224,71,43,470,1312,.251,.314,.429,.744,.291,2344,114,44,24,30,25,39,Los Angeles Angels,4.38,51%,3.7%,21.8%,7.8%,14.0%,8.4%,37%,0.72,0.93,66%,25%,10.5%,11%,1016,114,11%,0,2017
Los Angeles Dodgers,26,29.7,3.58,104,58,.642,3.38,162,162,160,2,16,0,51,1444.2,1226,580,543,184,442,33,1549,40,10,40,5925,123,3.67,1.155,7.6,1.1,2.8,9.6,3.50,1011,Los Angeles Dodgers,.228,.290,.380,.671,.284,3.1%,26.1%,7.5%,86.3,32.5%,25.4%,42.5%,22.0%,0.77,16.2,8.0%,156.9,Los Angeles Dodgers,3.58,,162,5925,5380,580,1226,229,20,184,68,28,442,1549,.228,.290,.380,.671,.284,2047,109,40,39,22,33,55,Los Angeles Dodgers,3.58,41%,3.1%,26.1%,7.5%,18.7%,7.3%,35%,0.77,1.03,62%,25%,9.9%,13%,1023,109,11%,0,2017
Miami Marlins,24,28.7,5.07,77,85,.475,4.82,162,162,161,1,7,1,34,1442.2,1450,822,772,193,627,59,1202,75,3,57,6318,83,4.69,1.440,9.0,1.2,3.9,7.5,1.92,1168,Miami Marlins,.263,.344,.432,.776,.302,3.1%,19.0%,9.9%,87.6,37.2%,25.6%,42.0%,23.2%,0.75,-8.4,-2.3%,-115.3,Miami Marlins,5.07,,162,6318,5514,822,1450,280,37,193,67,30,627,1202,.263,.344,.432,.776,.302,2383,132,75,59,43,59,37,Miami Marlins,5.07,45%,3.1%,19.0%,9.9%,9.1%,8.1%,35%,0.75,1.04,66%,26%,8.8%,11%,1262,132,10%,0,2017
Milwaukee Brewers,30,28.3,4.30,86,76,.531,4.00,162,162,161,1,12,0,54,1445.2,1381,697,642,185,553,45,1346,64,2,50,6164,110,4.24,1.338,8.6,1.2,3.4,8.4,2.43,1130,Milwaukee Brewers,.252,.326,.414,.741,.301,3.0%,21.8%,9.0%,86.2,34.2%,25.2%,45.3%,20.1%,0.86,5.6,4.8%,54.8,Milwaukee Brewers,4.30,,162,6164,5479,697,1381,276,29,185,99,32,553,1346,.252,.326,.414,.741,.301,2270,145,64,39,29,45,60,Milwaukee Brewers,4.30,50%,3.0%,21.8%,9.0%,12.9%,8.0%,36%,0.86,1.23,65%,25%,9.5%,12%,1157,145,13%,0,2017
Minnesota Twins,36,29.6,4.86,85,77,.525,4.59,162,162,156,6,11,3,42,1436.0,1487,788,732,224,483,37,1166,69,8,52,6205,97,4.72,1.372,9.3,1.4,3.0,7.3,2.41,1109,Minnesota Twins,.266,.330,.446,.776,.298,3.6%,18.8%,7.8%,88.1,38.0%,25.3%,42.5%,24.0%,0.75,-1.2,-2.6%,-31.3,Minnesota Twins,4.86,,162,6205,5587,788,1487,282,26,224,75,29,483,1166,.266,.330,.446,.776,.298,2493,126,69,23,42,37,43,Minnesota Twins,4.86,49%,3.6%,18.8%,7.8%,11.0%,8.6%,36%,0.75,0.98,68%,25%,10.0%,11%,1209,126,10%,0,2017
New York Mets,29,27.5,5.33,70,92,.432,5.01,162,162,160,2,5,0,34,1434.2,1538,863,799,220,593,51,1374,55,5,55,6378,83,4.59,1.485,9.6,1.4,3.7,8.6,2.32,1211,New York Mets,.273,.345,.448,.794,.322,3.5%,21.5%,9.3%,87.0,35.7%,24.8%,43.8%,23.0%,0.81,-8.9,-2.3%,-150.0,New York Mets,5.33,,162,6378,5628,863,1538,278,23,220,102,29,593,1374,.273,.345,.448,.794,.322,2522,112,55,49,53,51,61,New York Mets,5.33,51%,3.5%,21.5%,9.3%,12.3%,8.2%,34%,0.81,1.11,64%,25%,10.5%,11%,1324,112,8%,0,2017
New York Yankees,25,27.8,4.07,91,71,.562,3.72,162,162,160,2,7,1,36,1448.2,1248,660,599,192,504,18,1560,53,4,83,6078,121,3.88,1.209,7.8,1.2,3.1,9.7,3.10,1072,New York Yankees,.228,.298,.382,.680,.282,3.2%,25.7%,8.3%,87.3,37.2%,24.5%,45.9%,21.5%,0.87,7.3,4.8%,114.7,New York Yankees,4.07,,162,6078,5468,660,1248,243,12,192,65,26,504,1560,.228,.298,.382,.680,.282,2091,85,53,18,31,18,54,New York Yankees,4.07,46%,3.2%,25.7%,8.3%,17.4%,7.4%,36%,0.87,1.10,62%,24%,10.3%,11%,1063,85,8%,0,2017
Oakland Athletics,28,27.9,5.10,75,87,.463,4.67,162,162,161,1,6,1,35,1431.0,1444,826,743,210,502,17,1202,61,3,84,6167,90,4.57,1.360,9.1,1.3,3.2,7.6,2.39,1048,Oakland Athletics,.261,.327,.439,.765,.296,3.4%,19.5%,8.1%,88.4,39.2%,25.5%,44.6%,22.1%,0.82,-10.9,-1.8%,-94.2,Oakland Athletics,5.10,,162,6167,5537,826,1444,300,28,210,111,42,502,1202,.261,.327,.439,.765,.296,2430,126,61,17,46,17,77,Oakland Athletics,5.10,52%,3.4%,19.5%,8.1%,11.4%,8.7%,37%,0.82,1.10,68%,25%,9.9%,11%,1156,126,11%,0,2017
Philadelphia Phillies,31,26.8,4.83,66,96,.407,4.55,162,162,161,1,7,0,33,1441.0,1471,782,729,221,527,39,1309,63,11,50,6235,95,4.56,1.387,9.2,1.4,3.3,8.2,2.48,1130,Philadelphia Phillies,.265,.333,.447,.780,.307,3.5%,21.0%,8.5%,87.3,36.7%,25.4%,42.4%,22.6%,0.76,-6.4,-2.2%,-48.6,Philadelphia Phillies,4.83,,162,6235,5560,782,1471,296,28,221,91,30,527,1309,.265,.333,.447,.780,.307,2486,119,63,37,47,39,37,Philadelphia Phillies,4.83,51%,3.5%,21.0%,8.5%,12.5%,8.7%,37%,0.76,1.02,65%,25%,10.3%,11%,1156,119,10%,0,2017
Pittsburgh Pirates,24,27.1,4.51,75,87,.463,4.22,162,162,160,2,12,1,36,1440.2,1464,731,676,182,511,32,1262,58,2,58,6208,101,4.23,1.371,9.1,1.1,3.2,7.9,2.47,1155,Pittsburgh Pirates,.264,.330,.431,.761,.310,2.9%,20.3%,8.2%,87.3,37.4%,25.9%,44.5%,20.8%,0.84,-0.9,-1.3%,3.7,Pittsburgh Pirates,4.51,,162,6208,5555,731,1464,320,31,182,95,28,511,1262,.264,.330,.431,.761,.310,2392,133,58,53,29,32,58,Pittsburgh Pirates,4.51,49%,2.9%,20.3%,8.2%,12.1%,8.6%,36%,0.84,1.20,67%,26%,8.8%,11%,1216,133,11%,0,2017
San Diego Padres,32,27.7,5.04,71,91,.438,4.67,162,162,160,2,12,1,45,1430.2,1417,816,742,226,554,28,1325,75,11,73,6169,90,4.67,1.378,8.9,1.4,3.5,8.3,2.39,1061,San Diego Padres,.259,.333,.441,.775,.301,3.7%,21.5%,9.0%,87.7,37.7%,23.2%,47.0%,22.2%,0.92,-3.1,-1.1%,-88.5,San Diego Padres,5.04,,162,6169,5473,816,1417,275,23,226,76,34,554,1325,.259,.333,.441,.775,.301,2416,156,75,32,35,28,62,San Diego Padres,5.04,45%,3.7%,21.5%,9.0%,12.5%,8.5%,37%,0.92,1.26,64%,23%,11.6%,10%,1141,156,14%,0,2017
Seattle Mariners,40,27.8,4.77,78,84,.481,4.46,162,162,161,1,9,0,39,1440.1,1399,772,713,237,490,28,1244,53,7,73,6132,94,4.70,1.312,8.7,1.5,3.1,7.8,2.54,1039,Seattle Mariners,.254,.318,.435,.754,.285,3.9%,20.3%,8.0%,88.4,38.9%,25.0%,40.4%,24.8%,0.69,-4.2,-2.6%,-30.9,Seattle Mariners,4.77,,162,6132,5502,772,1399,262,12,237,80,26,490,1244,.254,.318,.435,.754,.285,2396,125,53,24,60,28,62,Seattle Mariners,4.77,46%,3.9%,20.3%,8.0%,12.3%,8.3%,37%,0.69,0.88,67%,25%,10.9%,14%,1133,125,11%,0,2017
San Francisco Giants,22,28.9,4.79,64,98,.395,4.50,162,162,159,3,5,2,32,1452.0,1515,776,726,182,496,42,1234,50,3,55,6287,95,4.22,1.385,9.4,1.1,3.1,7.6,2.49,1155,San Francisco Giants,.268,.331,.438,.768,.312,2.9%,19.6%,7.9%,87.9,37.7%,26.9%,42.2%,21.7%,0.76,-2.7,-0.2%,-30.8,San Francisco Giants,4.79,,162,6287,5650,776,1515,297,58,182,73,37,496,1234,.268,.331,.438,.768,.312,2474,116,50,51,39,42,50,San Francisco Giants,4.79,44%,2.9%,19.6%,7.9%,11.7%,8.5%,35%,0.76,1.05,68%,27%,8.1%,11%,1180,116,10%,0,2017
St. Louis Cardinals,25,28.3,4.35,83,79,.512,4.01,162,162,159,3,12,3,43,1450.1,1393,705,646,183,493,50,1351,67,0,38,6153,106,4.09,1.300,8.6,1.1,3.1,8.4,2.74,1097,St. Louis Cardinals,.253,.320,.411,.731,.301,3.0%,22.0%,8.0%,86.9,34.9%,25.3%,46.1%,20.9%,0.89,4.4,0.7%,37.6,St. Louis Cardinals,4.35,,162,6153,5507,705,1393,262,31,183,54,32,493,1351,.253,.320,.411,.731,.301,2266,145,67,40,45,50,55,St. Louis Cardinals,4.35,52%,3.0%,22.0%,8.0%,13.9%,7.7%,34%,0.89,1.25,65%,25%,9.3%,11%,1139,145,13%,0,2017
Tampa Bay Rays,31,27.6,4.35,80,82,.494,3.97,162,162,162,0,9,0,53,1445.0,1324,704,638,193,503,37,1352,48,4,83,6099,106,4.17,1.264,8.2,1.2,3.1,8.4,2.69,1060,Tampa Bay Rays,.242,.309,.403,.711,.285,3.2%,22.2%,8.3%,87.9,37.9%,24.7%,42.8%,22.8%,0.77,4.3,0.8%,40.9,Tampa Bay Rays,4.35,,162,6099,5482,704,1324,270,17,193,83,22,503,1352,.242,.309,.403,.711,.285,2207,113,48,26,38,37,57,Tampa Bay Rays,4.35,53%,3.2%,22.2%,8.3%,13.9%,7.9%,36%,0.77,0.97,65%,25%,9.5%,13%,1087,113,10%,0,2017
Texas Rangers,31,28.8,5.04,78,84,.481,4.66,162,162,160,2,6,1,29,1434.1,1443,816,742,214,559,22,1107,74,7,63,6211,103,4.88,1.396,9.1,1.3,3.5,6.9,1.98,1092,Texas Rangers,.261,.335,.434,.769,.290,3.5%,17.8%,9.0%,86.9,35.4%,25.3%,44.2%,21.7%,0.80,-1.4,-1.5%,-30.8,Texas Rangers,5.04,,162,6211,5526,816,1443,287,13,214,87,28,559,1107,.261,.335,.434,.769,.290,2398,156,74,11,40,22,62,Texas Rangers,5.04,47%,3.5%,17.8%,9.0%,8.8%,8.3%,36%,0.80,1.11,68%,25%,10.0%,13%,1202,156,13%,0,2017
Toronto Blue Jays,34,28.8,4.84,76,86,.469,4.42,162,162,160,2,6,0,45,1465.0,1460,784,720,203,549,25,1372,48,4,53,6316,102,4.31,1.371,9.0,1.2,3.4,8.4,2.50,1137,Toronto Blue Jays,.258,.326,.429,.756,.304,3.2%,21.7%,8.7%,87.4,37.5%,23.9%,45.3%,21.8%,0.84,3.0,-0.7%,-9.6,Toronto Blue Jays,4.84,,162,6316,5666,784,1460,310,26,203,119,26,549,1372,.258,.326,.429,.756,.304,2431,128,48,14,38,25,53,Toronto Blue Jays,4.84,49%,3.2%,21.7%,8.7%,13.0%,8.5%,37%,0.84,1.14,65%,24%,10.1%,14%,1174,128,11%,0,2017
Washington Nationals,24,30.1,4.15,97,65,.599,3.88,162,162,159,3,5,1,46,1446.2,1300,672,623,189,495,39,1457,60,5,44,6068,116,3.99,1.241,8.1,1.2,3.1,9.1,2.94,1056,Washington Nationals,.239,.308,.396,.703,.290,3.1%,24.0%,8.2%,87.0,35.0%,23.7%,43.5%,22.9%,0.80,12.6,3.4%,81.3,Washington Nationals,4.15,,162,6068,5446,672,1300,243,23,189,94,29,495,1457,.239,.308,.396,.703,.290,2156,119,60,35,31,39,44,Washington Nationals,4.15,45%,3.1%,24.0%,8.2%,15.9%,7.5%,35%,0.80,1.05,63%,24%,9.8%,13%,1109,119,11%,0,2017
Arizona Diamondbacks,30,29.6,3.98,82,80,.506,3.72,162,162,160,2,9,1,39,1463.0,1313,644,605,174,522,43,1448,57,5,69,6139,113,3.91,1.254,8.1,1.1,3.2,8.9,2.77,1106,Arizona Diamondbacks,.239,.310,.388,.698,.292,2.8%,23.6%,8.5%,89.6,41.1%,24.2%,47.2%,21.6%,0.92,3.5,1.6%,80.6,Arizona Diamondbacks,3.98,,162,6139,5495,644,1313,259,19,174,66,27,522,1448,.239,.310,.388,.698,.292,2132,136,57,29,34,43,43,Arizona Diamondbacks,3.98,47%,2.8%,23.6%,8.5%,15.1%,7.4%,34%,0.92,1.34,64%,24%,9.1%,10%,1123,136,12%,0,2018
Atlanta Braves,35,27.7,4.06,90,72,.556,3.75,162,162,160,2,11,1,40,1456.2,1236,657,607,153,635,43,1423,52,8,61,6155,110,3.98,1.284,7.6,0.9,3.9,8.8,2.24,1128,Atlanta Braves,.229,.314,.370,.684,.281,2.5%,23.1%,10.3%,88.5,37.5%,25.8%,43.0%,22.7%,0.78,6.5,5.7%,50.7,Atlanta Braves,4.06,,162,6155,5393,657,1236,248,26,153,102,28,635,1423,.229,.314,.370,.684,.281,1995,113,52,39,35,43,44,Atlanta Braves,4.06,46%,2.5%,23.1%,10.3%,12.8%,6.9%,35%,0.78,1.03,63%,26%,7.7%,11%,1140,113,10%,0,2018
Baltimore Orioles,30,27.1,5.51,47,115,.290,5.18,162,162,160,2,7,0,28,1431.0,1552,892,824,234,589,29,1203,67,8,81,6340,83,4.98,1.496,9.8,1.5,3.7,7.6,2.04,1155,Baltimore Orioles,.276,.349,.471,.820,.312,3.7%,19.0%,9.3%,88.9,39.8%,26.0%,42.1%,23.3%,0.74,-14.8,-1.0%,-172.4,Baltimore Orioles,5.51,,162,6340,5625,892,1552,325,34,234,89,42,589,1203,.276,.349,.471,.820,.312,2647,130,67,17,42,29,56,Baltimore Orioles,5.51,52%,3.7%,19.0%,9.3%,9.7%,9.4%,38%,0.74,0.99,67%,26%,10.4%,12%,1263,130,10%,0,2018
Boston Red Sox,23,28.9,3.99,108,54,.667,3.75,162,162,160,2,14,0,46,1458.2,1305,647,608,176,512,8,1558,84,3,51,6166,118,3.82,1.246,8.1,1.1,3.2,9.6,3.04,1143,Boston Red Sox,.237,.309,.390,.698,.295,2.9%,25.3%,8.3%,88.8,37.8%,24.7%,42.6%,24.0%,0.76,12.0,7.4%,106.0,Boston Red Sox,3.99,,162,6166,5515,647,1305,246,35,176,64,30,512,1558,.237,.309,.390,.698,.295,2149,88,84,9,46,8,43,Boston Red Sox,3.99,39%,2.9%,25.3%,8.3%,17.0%,7.4%,35%,0.76,0.91,62%,25%,9.0%,13%,1114,88,8%,0,2018
Chicago Cubs,35,30.2,3.96,95,68,.583,3.65,163,163,162,1,18,0,46,1476.1,1319,645,598,157,622,33,1333,66,3,46,6264,115,4.13,1.315,8.0,1.0,3.8,8.1,2.14,1190,Chicago Cubs,.240,.323,.376,.698,.287,2.5%,21.3%,9.9%,88.2,37.9%,25.7%,44.4%,21.6%,0.83,13.2,12.0%,78.9,Chicago Cubs,3.96,,163,6264,5500,645,1319,221,28,157,84,40,622,1333,.240,.323,.376,.698,.287,2067,137,66,39,35,33,53,Chicago Cubs,3.96,41%,2.5%,21.3%,9.9%,11.4%,6.5%,31%,0.83,1.13,65%,26%,7.7%,10%,1193,137,11%,0,2018
Chicago White Sox,31,27.6,5.23,62,100,.383,4.83,162,162,162,0,8,0,34,1437.0,1404,848,771,196,653,25,1259,89,9,94,6339,88,4.73,1.431,8.8,1.2,4.1,7.9,1.93,1180,Chicago White Sox,.254,.340,.422,.761,.293,3.1%,19.9%,10.3%,88.9,39.1%,24.8%,40.8%,24.8%,0.70,-9.8,-2.1%,-123.2,Chicago White Sox,5.23,,162,6339,5531,848,1404,292,24,196,133,39,653,1259,.254,.340,.422,.761,.293,2332,100,89,18,47,25,62,Chicago White Sox,5.23,47%,3.1%,19.9%,10.3%,9.6%,8.1%,37%,0.70,0.88,65%,25%,9.0%,14%,1266,100,8%,0,2018
Cincinnati Reds,32,27.1,5.06,67,95,.414,4.63,162,162,161,1,6,0,38,1441.0,1491,819,741,228,532,60,1258,50,8,48,6279,90,4.66,1.404,9.3,1.4,3.3,7.9,2.36,1137,Cincinnati Reds,.266,.332,.450,.782,.303,3.6%,20.0%,8.5%,89.0,40.1%,25.1%,44.1%,22.2%,0.82,-7.5,-1.2%,-114.0,Cincinnati Reds,5.06,,162,6279,5605,819,1491,291,27,228,83,24,532,1258,.266,.332,.450,.782,.303,2520,118,50,43,48,60,63,Cincinnati Reds,5.06,50%,3.6%,20.0%,8.5%,11.6%,8.7%,37%,0.82,1.11,66%,25%,10.7%,11%,1212,118,10%,0,2018
Cleveland Indians,27,29.4,4.00,91,71,.562,3.77,162,162,157,5,17,2,41,1457.1,1349,648,611,200,407,29,1544,59,2,54,6071,115,3.78,1.205,8.3,1.2,2.5,9.5,3.79,1051,Cleveland Indians,.242,.300,.414,.714,.299,3.3%,25.4%,6.7%,88.6,37.7%,24.7%,42.8%,24.4%,0.76,10.9,4.8%,104.3,Cleveland Indians,4.00,,162,6071,5566,648,1349,311,23,200,81,29,407,1544,.242,.300,.414,.714,.299,2306,98,59,16,21,29,47,Cleveland Indians,4.00,52%,3.3%,25.4%,6.7%,18.7%,8.8%,40%,0.76,0.99,63%,25%,9.9%,11%,984,98,10%,0,2018
Colorado Rockies,21,27.9,4.57,91,72,.558,4.33,163,163,163,0,10,0,51,1452.1,1377,745,699,184,525,24,1409,52,8,70,6154,109,4.06,1.310,8.5,1.1,3.3,8.7,2.68,1052,Colorado Rockies,.250,.319,.417,.736,.302,3.0%,22.9%,8.5%,88.7,38.4%,25.7%,45.1%,21.2%,0.84,3.6,4.5%,14.4,Colorado Rockies,4.57,,163,6154,5501,745,1377,268,48,184,92,25,525,1409,.250,.319,.417,.736,.302,2293,137,52,25,47,24,40,Colorado Rockies,4.57,43%,3.0%,22.9%,8.5%,14.4%,8.1%,36%,0.84,1.21,64%,26%,9.3%,11%,1137,137,12%,0,2018
Detroit Tigers,27,28.6,4.91,64,98,.395,4.58,162,162,162,0,2,0,37,1425.1,1423,796,726,216,491,20,1215,60,4,54,6130,98,4.58,1.343,9.0,1.4,3.1,7.7,2.47,1058,Detroit Tigers,.258,.323,.439,.762,.292,3.5%,19.8%,8.0%,88.9,39.8%,25.0%,39.9%,25.5%,0.68,-6.1,-0.6%,-59.1,Detroit Tigers,4.91,,162,6130,5505,796,1423,278,34,216,79,37,491,1215,.258,.323,.439,.762,.292,2417,100,60,16,57,20,58,Detroit Tigers,4.91,41%,3.5%,19.8%,8.0%,11.8%,8.6%,37%,0.68,0.85,67%,25%,9.6%,12%,1117,100,9%,0,2018
Houston Astros,22,30.0,3.30,103,59,.636,3.11,162,162,159,3,12,2,46,1455.0,1164,534,503,152,435,4,1687,66,4,67,5913,134,3.23,1.099,7.2,0.9,2.7,10.4,3.88,1014,Houston Astros,.217,.282,.358,.640,.284,2.6%,28.5%,7.4%,88.0,36.1%,24.9%,44.3%,22.8%,0.81,18.8,11.8%,203.9,Houston Astros,3.30,,162,5913,5365,534,1164,257,21,152,60,25,435,1687,.217,.282,.358,.640,.284,1919,95,66,12,34,4,34,Houston Astros,3.30,47%,2.6%,28.5%,7.4%,21.2%,7.3%,37%,0.81,1.06,60%,25%,8.5%,12%,942,95,10%,0,2018
Kansas City Royals,27,27.6,5.14,58,104,.358,4.94,162,162,160,2,8,0,33,1432.0,1542,833,786,205,549,28,1157,51,4,68,6284,88,4.66,1.460,9.7,1.3,3.5,7.3,2.11,1155,Kansas City Royals,.275,.342,.446,.788,.311,3.3%,18.4%,8.7%,89.5,41.1%,25.8%,42.9%,23.1%,0.77,-8.8,-1.6%,-107.7,Kansas City Royals,5.14,,162,6284,5603,833,1542,271,36,205,60,33,549,1157,.275,.342,.446,.788,.311,2500,121,51,23,57,28,43,Kansas City Royals,5.14,45%,3.3%,18.4%,8.7%,9.7%,8.2%,33%,0.77,0.99,68%,26%,9.1%,10%,1222,121,10%,0,2018
Los Angeles Angels,35,27.5,4.46,80,82,.494,4.15,162,162,161,1,9,1,35,1437.1,1353,722,662,205,546,17,1386,65,3,87,6108,102,4.36,1.321,8.5,1.3,3.4,8.7,2.54,1074,Los Angeles Angels,.248,.322,.415,.738,.295,3.4%,22.7%,8.9%,89.4,41.2%,26.1%,42.5%,22.7%,0.75,-0.6,0.3%,0.8,Los Angeles Angels,4.46,,162,6108,5445,722,1353,256,19,205,46,33,546,1386,.248,.322,.415,.738,.295,2262,147,65,14,35,17,44,Los Angeles Angels,4.46,47%,3.4%,22.7%,8.9%,13.8%,7.9%,36%,0.75,1.00,64%,26%,10.0%,12%,1179,147,12%,0,2018
Los Angeles Dodgers,31,29.2,3.74,92,71,.564,3.38,163,163,163,0,11,0,48,1476.0,1279,610,554,179,422,39,1565,61,10,39,6096,115,3.60,1.152,7.8,1.1,2.6,9.5,3.71,1058,Los Angeles Dodgers,.230,.290,.379,.669,.286,2.9%,25.7%,6.9%,87.9,36.3%,24.0%,44.8%,21.8%,0.84,8.1,11.9%,97.5,Los Angeles Dodgers,3.74,,163,6096,5562,610,1279,242,25,179,70,25,422,1565,.230,.290,.379,.669,.286,2108,91,61,25,23,39,61,Los Angeles Dodgers,3.74,44%,2.9%,25.7%,6.9%,18.8%,7.3%,35%,0.84,1.11,63%,24%,9.4%,12%,1074,91,8%,0,2018
Miami Marlins,29,27.6,5.02,63,98,.391,4.76,161,161,160,1,12,0,30,1442.0,1388,809,762,192,605,73,1249,71,6,47,6236,81,4.56,1.382,8.7,1.2,3.8,7.8,2.06,1101,Miami Marlins,.254,.333,.424,.757,.293,3.1%,20.0%,9.7%,89.1,40.3%,25.1%,40.6%,24.7%,0.70,-7.0,-1.2%,-133.3,Miami Marlins,5.02,,161,6236,5472,809,1388,309,23,192,60,42,605,1249,.254,.333,.424,.757,.293,2319,115,71,38,48,73,40,Miami Marlins,5.02,45%,3.1%,20.0%,9.7%,10.3%,8.4%,38%,0.70,0.95,65%,25%,8.7%,12%,1188,115,10%,0,2018
Milwaukee Brewers,30,28.8,4.04,96,67,.589,3.73,163,163,163,0,14,0,49,1461.0,1259,659,606,173,553,34,1428,61,5,50,6114,110,4.01,1.240,7.8,1.1,3.4,8.8,2.58,1072,Milwaukee Brewers,.233,.309,.387,.696,.282,2.8%,23.4%,9.0%,88.1,38.0%,25.6%,42.6%,21.2%,0.77,7.2,9.3%,55.5,Milwaukee Brewers,4.04,,163,6114,5415,659,1259,239,40,173,69,39,553,1428,.233,.309,.387,.696,.282,2097,113,61,42,41,34,53,Milwaukee Brewers,4.04,47%,2.8%,23.4%,9.0%,14.3%,7.4%,36%,0.77,1.03,63%,26%,8.9%,13%,1107,113,10%,0,2018
Minnesota Twins,36,28.5,4.78,78,84,.481,4.50,162,162,160,2,7,1,37,1443.1,1425,775,721,198,573,34,1377,80,0,59,6287,96,4.39,1.384,8.9,1.2,3.6,8.6,2.40,1182,Minnesota Twins,.256,.332,.423,.755,.304,3.2%,21.9%,9.1%,88.8,40.9%,25.7%,41.5%,23.7%,0.73,-2.3,-0.6%,-36.2,Minnesota Twins,4.78,,162,6287,5560,775,1425,280,26,198,85,29,573,1377,.256,.332,.423,.755,.304,2351,110,80,25,49,34,49,Minnesota Twins,4.78,51%,3.2%,21.9%,9.1%,12.8%,8.0%,35%,0.73,0.97,64%,26%,9.2%,12%,1216,110,9%,0,2018
New York Mets,30,28.0,4.36,77,85,.475,4.07,162,162,159,3,15,1,41,1460.2,1364,707,661,185,484,32,1446,71,2,26,6178,92,3.97,1.265,8.4,1.1,3.0,8.9,2.99,1089,New York Mets,.246,.313,.398,.711,.298,3.0%,23.4%,7.8%,87.6,35.4%,24.1%,41.7%,24.2%,0.74,3.3,-1.1%,-30.4,New York Mets,4.36,,162,6178,5541,707,1364,241,24,185,134,36,484,1446,.246,.313,.398,.711,.298,2208,104,71,42,40,32,55,New York Mets,4.36,47%,3.0%,23.4%,7.8%,15.6%,7.3%,33%,0.74,0.98,64%,24%,9.1%,13%,1144,104,9%,0,2018
New York Yankees,27,28.8,4.13,100,62,.617,3.78,162,162,160,2,11,2,49,1456.1,1311,669,611,177,494,9,1634,58,4,73,6141,112,3.63,1.239,8.1,1.1,3.1,10.1,3.31,1103,New York Yankees,.237,.304,.390,.694,.302,2.9%,26.6%,8.0%,88.3,37.9%,24.6%,43.4%,23.4%,0.78,8.6,4.5%,70.2,New York Yankees,4.13,,162,6141,5543,669,1311,293,13,177,88,31,494,1634,.237,.304,.390,.694,.302,2161,82,58,17,29,9,48,New York Yankees,4.13,46%,2.9%,26.6%,8.0%,18.6%,7.9%,37%,0.78,0.98,61%,25%,9.1%,12%,1121,82,7%,0,2018
