Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB,Tm,BA,OBP,SLG,OPS,BAbip,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,WPA,cWPA,RE24,Tm,RA/G,PAu,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,BA,OBP,SLG,OPS,BAbip,TB,GDP,HBP,SH,SF,IBB,ROE,Tm,RA/G,Ptn%,HR%,SO%,BB%,SO-BB%,XBH%,X/H%,GB/FB,GO/AO,IP%,LD%,HR/FB,IF/FB,Opp,DP,%,PAu,year
Philadelphia Phillies,30,28.5,4.99,63,99,.389,4.69,162,162,161,1,7,1,35,1436.1,1592,809,749,191,488,37,1153,61,7,60,6332,82,4.40,1.448,10.0,1.2,3.1,7.2,2.36,1214,Philadelphia Phillies,.280,.341,.445,.786,.319,3.0%,18.2%,7.7%,89.2,39.9%,28.4%,44.0%,19.1%,0.82,-11.7,-1.4%,-154.6,Philadelphia Phillies,4.99,,162,6332,5691,809,1592,300,33,191,79,32,488,1153,.280,.341,.445,.786,.319,2531,123,61,47,42,37,68,Philadelphia Phillies,4.99,50%,3.0%,18.2%,7.7%,10.5%,8.3%,33%,0.82,1.03,69%,28%,8.7%,12%,1217,123,10%,0,2015
Pittsburgh Pirates,21,29.6,3.68,98,64,.605,3.21,162,162,162,0,13,0,54,1489.2,1392,596,532,110,453,38,1338,75,4,67,6215,121,3.36,1.239,8.4,0.7,2.7,8.1,2.95,1150,Pittsburgh Pirates,.248,.311,.361,.672,.305,1.8%,21.5%,7.3%,88.1,38.2%,25.8%,50.3%,17.0%,1.06,15.3,8.2%,91.5,Pittsburgh Pirates,3.68,,162,6215,5615,596,1392,257,24,110,144,43,453,1338,.248,.311,.361,.672,.305,2027,154,75,38,33,38,73,Pittsburgh Pirates,3.68,44%,1.8%,21.5%,7.3%,14.2%,6.3%,28%,1.06,1.52,68%,26%,5.9%,11%,1154,154,13%,0,2015
San Diego Padres,26,29.1,4.51,74,88,.457,4.09,162,162,161,1,6,0,41,1440.1,1371,731,655,171,516,35,1393,54,3,54,6093,91,3.93,1.310,8.6,1.1,3.2,8.7,2.70,1041,San Diego Padres,.252,.321,.414,.735,.307,2.8%,22.9%,8.5%,88.7,38.8%,27.2%,46.8%,18.2%,0.91,-3.3,-1.1%,-76.6,San Diego Padres,4.51,,162,6093,5440,731,1371,268,50,171,122,60,516,1393,.252,.321,.414,.735,.307,2252,119,54,44,38,35,50,San Diego Padres,4.51,51%,2.8%,22.9%,8.5%,14.4%,8.0%,36%,0.91,1.25,64%,27%,9.1%,11%,1036,119,11%,0,2015
Seattle Mariners,28,28.6,4.48,76,86,.469,4.16,162,162,156,6,12,5,45,1463.0,1430,726,677,181,491,41,1283,70,5,72,6223,92,4.14,1.313,8.8,1.1,3.0,7.9,2.61,1108,Seattle Mariners,.256,.322,.412,.734,.300,2.9%,20.6%,7.9%,88.9,39.1%,25.6%,46.2%,19.8%,0.89,-0.6,-0.4%,-39.1,Seattle Mariners,4.48,,162,6223,5590,726,1430,285,23,181,65,40,491,1283,.256,.322,.412,.734,.300,2304,127,70,32,37,41,55,Seattle Mariners,4.48,41%,2.9%,20.6%,7.9%,12.7%,7.9%,34%,0.89,1.19,67%,26%,9.2%,13%,1162,127,11%,0,2015
San Francisco Giants,21,31.5,3.87,84,78,.519,3.72,162,162,155,7,18,4,41,1444.1,1344,627,597,155,431,28,1165,50,4,40,6009,103,3.91,1.229,8.4,1.0,2.7,7.3,2.70,1049,San Francisco Giants,.246,.305,.395,.700,.285,2.6%,19.4%,7.2%,88.8,38.9%,26.9%,45.8%,19.1%,0.87,3.5,2.7%,42.4,San Francisco Giants,3.87,,162,6009,5463,627,1344,246,51,155,82,32,431,1165,.246,.305,.395,.700,.285,2157,130,50,31,34,28,40,San Francisco Giants,3.87,49%,2.6%,19.4%,7.2%,12.2%,7.5%,34%,0.87,1.21,70%,27%,7.7%,13%,1022,130,13%,0,2015
St. Louis Cardinals,23,28.2,3.24,100,62,.617,2.94,162,162,161,1,15,0,62,1464.2,1359,525,478,123,477,37,1329,45,5,48,6134,134,3.47,1.254,8.4,0.8,2.9,8.2,2.79,1215,St. Louis Cardinals,.246,.310,.366,.676,.302,2.0%,21.7%,7.8%,88.0,37.1%,24.6%,47.3%,19.1%,0.95,20.7,12.6%,157.0,St. Louis Cardinals,3.24,,162,6134,5517,525,1359,240,26,123,54,29,477,1329,.246,.310,.366,.676,.302,2020,134,45,66,29,37,55,St. Louis Cardinals,3.24,50%,2.0%,21.7%,7.8%,13.9%,6.3%,29%,0.95,1.23,67%,25%,6.6%,13%,1168,134,11%,0,2015
Tampa Bay Rays,27,26.7,3.96,80,82,.494,3.74,162,162,161,1,12,1,60,1453.1,1314,642,604,175,477,23,1355,46,5,81,6069,105,3.91,1.232,8.1,1.1,3.0,8.4,2.84,1067,Tampa Bay Rays,.240,.304,.385,.689,.286,2.9%,22.3%,7.9%,89.4,40.7%,24.8%,42.0%,24.0%,0.74,5.3,4.3%,47.4,Tampa Bay Rays,3.96,,162,6069,5477,642,1314,232,19,175,88,44,477,1355,.240,.304,.385,.689,.286,2109,94,46,27,40,23,55,Tampa Bay Rays,3.96,46%,2.9%,22.3%,7.9%,14.5%,7.0%,32%,0.74,0.88,66%,25%,8.6%,14%,1029,94,9%,0,2015
Texas Rangers,31,28.1,4.52,88,74,.543,4.24,162,162,157,5,9,3,45,1442.2,1459,733,680,171,508,29,1095,63,5,51,6215,100,4.34,1.363,9.1,1.1,3.2,6.8,2.16,1154,Texas Rangers,.262,.328,.419,.747,.296,2.8%,17.6%,8.2%,88.9,39.0%,29.0%,44.6%,18.8%,0.82,3.4,5.5%,-20.1,Texas Rangers,4.52,,162,6215,5567,733,1459,280,40,171,82,25,508,1095,.262,.328,.419,.747,.296,2332,143,63,22,51,29,70,Texas Rangers,4.52,44%,2.8%,17.6%,8.2%,9.4%,7.9%,34%,0.82,1.11,70%,29%,8.0%,13%,1217,143,12%,0,2015
Toronto Blue Jays,28,29.2,4.14,93,69,.574,3.80,162,162,155,7,10,2,34,1441.0,1353,670,609,173,397,20,1117,59,4,62,5984,108,4.09,1.214,8.5,1.1,2.5,7.0,2.81,991,Toronto Blue Jays,.248,.304,.403,.707,.280,2.9%,18.7%,6.6%,88.4,37.4%,25.8%,44.1%,21.0%,0.81,0.0,3.3%,38.8,Toronto Blue Jays,4.14,,162,5984,5452,670,1353,267,30,173,60,41,397,1117,.248,.304,.403,.707,.280,2199,128,59,25,49,20,54,Toronto Blue Jays,4.14,43%,2.9%,18.7%,6.6%,12.0%,7.9%,35%,0.81,1.06,70%,26%,8.4%,15%,1053,128,12%,0,2015
Washington Nationals,26,28.6,3.92,83,79,.512,3.62,162,162,158,4,13,3,41,1434.2,1366,635,577,145,364,37,1342,55,4,39,5975,110,3.45,1.206,8.6,0.9,2.3,8.4,3.69,1036,Washington Nationals,.250,.301,.384,.685,.304,2.4%,22.5%,6.1%,87.8,37.1%,28.2%,44.5%,17.7%,0.84,1.5,-0.2%,35.8,Washington Nationals,3.92,,162,5975,5464,635,1366,239,29,145,53,32,364,1342,.250,.301,.384,.685,.304,2098,102,55,52,39,37,49,Washington Nationals,3.92,46%,2.4%,22.5%,6.1%,16.4%,6.9%,30%,0.84,1.09,67%,28%,7.5%,14%,1075,102,9%,0,2015
